round,group_index,mode,classification,all_wrong,rollouts,scored,reward_mean,success_mean,retry_present
0,86,assisted,not_frontier,0,8,8,0.125,0.125,0
0,87,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,88,assisted,not_frontier,0,8,8,0.875,0.875,0
0,89,assisted,not_frontier,0,8,8,1.0,1.0,0
0,90,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,91,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,92,assisted,not_frontier,0,8,8,1.0,1.0,0
0,93,assisted,not_frontier,0,8,8,0.375,0.375,0
0,94,assisted,not_frontier,0,8,8,0.5,0.5,0
0,95,assisted,not_frontier,0,8,8,0.75,0.75,0
0,96,assisted,not_frontier,0,8,8,0.375,0.375,0
0,97,assisted,not_frontier,0,8,8,0.25,0.25,0
0,98,assisted,not_frontier,0,8,8,1.0,1.0,0
0,99,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,100,assisted,not_frontier,0,8,8,0.875,0.875,0
0,101,assisted,not_frontier,0,8,8,0.75,0.75,0
0,102,skill_free,not_frontier,0,8,8,0.375,0.375,0
0,103,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,104,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,105,skill_free,not_frontier,0,8,8,0.375,0.375,0
0,106,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,107,assisted,not_frontier,0,8,8,1.0,1.0,0
0,108,assisted,not_frontier,0,8,8,0.8928571428571428,0.875,0
0,109,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,110,assisted,not_frontier,0,8,8,1.0,1.0,0
0,111,assisted,not_frontier,0,8,8,0.875,0.875,0
0,112,assisted,not_frontier,0,8,8,1.0,1.0,0
0,113,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,114,assisted,not_frontier,0,8,8,1.0,1.0,0
0,115,assisted,not_frontier,0,8,8,1.0,1.0,0
0,116,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,117,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,118,assisted,not_frontier,0,8,8,0.625,0.625,0
0,119,skill_free,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,120,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,121,assisted,not_frontier,0,8,8,0.75,0.75,0
0,122,assisted,not_frontier,0,8,8,1.0,1.0,0
0,123,assisted,full_skill_failure_pending_analysis,1,8,8,0.125,0.0,1
0,124,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,125,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,126,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,127,assisted,not_frontier,0,8,8,1.0,1.0,0
0,128,assisted,not_frontier,0,8,8,0.75,0.75,0
0,129,assisted,not_frontier,0,8,8,1.0,1.0,0
0,130,assisted,not_frontier,0,8,8,0.625,0.625,0
0,131,assisted,not_frontier,0,8,8,0.75,0.75,0
0,132,assisted,not_frontier,0,8,8,1.0,1.0,0
0,133,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,134,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,135,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,136,assisted,not_frontier,0,8,8,0.125,0.125,0
0,137,assisted,not_frontier,0,8,8,0.875,0.875,0
0,138,skill_free,not_frontier,0,8,8,0.25,0.25,0
0,139,assisted,not_frontier,0,8,8,0.625,0.625,0
0,140,assisted,not_frontier,0,8,8,1.0,1.0,0
0,141,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,142,assisted,not_frontier,0,8,8,1.0,1.0,0
0,143,assisted,not_frontier,0,8,8,0.5,0.5,0
0,144,assisted,not_frontier,0,8,8,0.34375,0.25,0
0,145,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,146,assisted,not_frontier,0,8,8,1.0,1.0,0
0,147,assisted,not_frontier,0,8,8,0.5,0.5,0
0,148,assisted,full_skill_failure_pending_analysis,1,8,8,0.375,0.0,1
0,149,assisted,not_frontier,0,8,8,1.0,1.0,0
0,150,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,151,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,152,assisted,not_frontier,0,8,8,0.125,0.125,0
0,153,assisted,not_frontier,0,8,8,1.0,1.0,0
0,154,skill_free,model_internalization_deficit,1,8,8,0.0,0.0,1
0,155,skill_free,not_frontier,0,8,8,0.625,0.625,0
0,156,skill_free,model_internalization_deficit,1,8,8,0.0,0.0,1
0,157,assisted,not_frontier,0,8,8,0.75,0.75,0
0,158,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,159,assisted,not_frontier,0,8,8,0.5,0.5,0
0,160,assisted,not_frontier,0,8,8,0.375,0.375,0
0,161,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,162,assisted,not_frontier,0,8,8,0.375,0.375,0
0,163,assisted,not_frontier,0,8,8,0.875,0.875,0
0,164,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,165,assisted,not_frontier,0,8,8,1.0,1.0,0
0,166,assisted,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,167,assisted,environment_or_runtime_error,1,8,8,0.375,0.0,1
0,168,assisted,not_frontier,0,8,8,0.75,0.75,0
0,169,assisted,not_frontier,0,8,8,0.703125,0.625,0
0,170,assisted,not_frontier,0,8,8,0.75,0.75,0
0,171,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,172,assisted,not_frontier,0,8,8,1.0,1.0,0
0,173,assisted,not_frontier,0,8,8,0.375,0.375,0
0,174,assisted,not_frontier,0,8,8,1.0,1.0,0
0,175,assisted,not_frontier,0,8,8,0.9166666666666666,0.875,0
0,176,assisted,not_frontier,0,8,8,0.375,0.375,0
0,177,skill_free,environment_or_runtime_error,0,8,7,0.42857142857142855,0.42857142857142855,0
0,178,assisted,not_frontier,0,8,8,0.625,0.625,0
0,179,assisted,not_frontier,0,8,8,0.875,0.875,0
0,180,assisted,not_frontier,0,8,8,0.75,0.75,0
0,181,assisted,environment_or_runtime_error,0,8,7,0.42857142857142855,0.42857142857142855,0
0,182,assisted,not_frontier,0,8,8,1.0,1.0,0
0,183,assisted,not_frontier,0,8,8,0.125,0.125,0
0,184,assisted,not_frontier,0,8,8,0.875,0.875,0
0,185,assisted,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,186,skill_free,environment_or_runtime_error,0,8,7,0.14285714285714285,0.14285714285714285,0
0,187,assisted,environment_or_runtime_error,0,8,0,,,0
0,188,assisted,environment_or_runtime_error,0,8,1,1.0,1.0,0
0,189,skill_free,environment_or_runtime_error,0,8,0,,,0
0,190,assisted,environment_or_runtime_error,0,8,0,,,0
0,191,assisted,environment_or_runtime_error,0,8,0,,,0
0,192,assisted,not_frontier,0,8,8,0.75,0.75,0
0,193,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,194,skill_free,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,195,assisted,not_frontier,0,8,8,0.625,0.625,0
0,196,skill_free,not_frontier,0,8,8,0.25,0.25,0
0,197,assisted,not_frontier,0,8,8,0.875,0.875,0
0,198,assisted,not_frontier,0,8,8,1.0,1.0,0
0,199,assisted,not_frontier,0,8,8,0.875,0.875,0
0,200,assisted,not_frontier,0,8,8,1.0,1.0,0
0,201,assisted,not_frontier,0,8,8,1.0,1.0,0
0,202,assisted,not_frontier,0,8,8,1.0,1.0,0
0,203,assisted,not_frontier,0,8,8,0.875,0.875,0
0,204,assisted,not_frontier,0,8,8,1.0,1.0,0
0,205,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,206,assisted,not_frontier,0,8,8,0.875,0.875,0
0,207,assisted,not_frontier,0,8,8,0.375,0.375,0
0,208,assisted,not_frontier,0,8,8,0.875,0.875,0
0,209,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,210,assisted,not_frontier,0,8,8,1.0,1.0,0
0,211,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,212,assisted,not_frontier,0,8,8,0.625,0.625,0
0,213,skill_free,not_frontier,0,8,8,0.625,0.625,0
0,214,assisted,not_frontier,0,8,8,1.0,1.0,0
0,215,assisted,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,216,assisted,not_frontier,0,8,8,0.75,0.75,0
0,217,assisted,not_frontier,0,8,8,1.0,1.0,0
0,218,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,219,assisted,not_frontier,0,8,8,0.375,0.375,0
0,220,assisted,not_frontier,0,8,8,1.0,1.0,0
0,221,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,222,assisted,not_frontier,0,8,8,1.0,1.0,0
0,223,skill_free,not_frontier,0,8,8,0.75,0.625,0
0,224,skill_free,not_frontier,0,8,8,0.625,0.625,0
0,225,assisted,not_frontier,0,8,8,0.375,0.375,0
0,226,skill_free,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,227,assisted,not_frontier,0,8,8,1.0,1.0,0
0,228,assisted,not_frontier,0,8,8,0.625,0.625,0
0,229,assisted,not_frontier,0,8,8,0.875,0.875,0
0,230,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,231,assisted,not_frontier,0,8,8,1.0,1.0,0
0,232,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,233,assisted,not_frontier,0,8,8,0.625,0.625,0
0,234,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,235,assisted,not_frontier,0,8,8,0.25,0.25,0
0,236,assisted,not_frontier,0,8,8,0.125,0.125,0
0,237,assisted,not_frontier,0,8,8,1.0,1.0,0
0,238,assisted,not_frontier,0,8,8,0.875,0.875,0
0,239,assisted,not_frontier,0,8,8,1.0,1.0,0
0,240,assisted,not_frontier,0,8,8,0.25,0.25,0
0,241,assisted,not_frontier,0,8,8,0.75,0.75,0
0,242,assisted,not_frontier,0,8,8,1.0,1.0,0
0,243,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,244,assisted,not_frontier,0,8,8,1.0,1.0,0
0,245,assisted,not_frontier,0,8,8,1.0,1.0,0
0,246,assisted,not_frontier,0,8,8,1.0,1.0,0
0,247,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,248,assisted,not_frontier,0,8,8,1.0,1.0,0
0,249,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,250,assisted,not_frontier,0,8,8,0.375,0.375,0
0,251,assisted,not_frontier,0,8,8,0.25,0.25,0
0,252,assisted,not_frontier,0,8,8,1.0,1.0,0
0,253,assisted,not_frontier,0,8,8,0.125,0.125,0
0,254,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,255,assisted,not_frontier,0,8,8,1.0,1.0,0
0,256,assisted,not_frontier,0,8,8,0.375,0.375,0
0,257,assisted,not_frontier,0,8,8,0.75,0.75,0
0,258,assisted,not_frontier,0,8,8,0.25,0.25,0
0,259,assisted,not_frontier,0,8,8,1.0,1.0,0
0,260,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,261,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,262,assisted,not_frontier,0,8,8,1.0,1.0,0
0,263,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,264,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,265,assisted,not_frontier,0,8,8,0.875,0.875,0
0,266,assisted,not_frontier,0,8,8,0.875,0.875,0
0,267,assisted,not_frontier,0,8,8,1.0,1.0,0
0,268,assisted,not_frontier,0,8,8,1.0,1.0,0
0,269,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,270,assisted,not_frontier,0,8,8,1.0,1.0,0
0,271,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,272,assisted,not_frontier,0,8,8,1.0,1.0,0
0,273,assisted,not_frontier,0,8,8,0.875,0.875,0
0,274,assisted,not_frontier,0,8,8,1.0,1.0,0
0,275,assisted,not_frontier,0,8,8,0.125,0.125,0
0,276,assisted,not_frontier,0,8,8,0.15,0.125,0
0,277,assisted,not_frontier,0,8,8,0.375,0.375,0
0,278,skill_free,not_frontier,0,8,8,0.5,0.5,0
0,279,assisted,not_frontier,0,8,8,1.0,1.0,0
0,280,assisted,not_frontier,0,8,8,0.125,0.125,0
0,281,assisted,not_frontier,0,8,8,0.875,0.875,0
0,282,assisted,not_frontier,0,8,8,1.0,1.0,0
0,283,skill_free,full_skill_failure_pending_analysis,1,8,8,0.09375,0.0,1
0,284,assisted,not_frontier,0,8,8,0.875,0.875,0
0,285,assisted,environment_or_runtime_error,0,8,7,0.7142857142857143,0.7142857142857143,0
0,286,skill_free,not_frontier,0,8,8,0.75,0.75,0
0,287,assisted,not_frontier,0,8,8,1.0,1.0,0
0,288,assisted,not_frontier,0,8,8,1.0,1.0,0
0,289,assisted,not_frontier,0,8,8,1.0,1.0,0
0,290,assisted,not_frontier,0,8,8,1.0,1.0,0
0,291,assisted,not_frontier,0,8,8,0.75,0.75,0
0,292,assisted,not_frontier,0,8,8,0.5,0.5,0
0,293,assisted,not_frontier,0,8,8,1.0,1.0,0
0,294,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,295,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,296,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,297,assisted,full_skill_failure_pending_analysis,1,8,8,0.5,0.0,1
0,298,assisted,not_frontier,0,8,8,0.8035714285714286,0.75,0
0,299,assisted,not_frontier,0,8,8,0.875,0.875,0
0,300,assisted,not_frontier,0,8,8,0.375,0.375,0
0,301,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,302,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,303,skill_free,not_frontier,0,8,8,0.3125,0.25,0
0,304,assisted,not_frontier,0,8,8,0.5,0.5,0
0,305,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,306,assisted,not_frontier,0,8,8,1.0,1.0,0
0,307,assisted,not_frontier,0,8,8,1.0,1.0,0
0,308,assisted,not_frontier,0,8,8,1.0,1.0,0
0,309,assisted,not_frontier,0,8,8,1.0,1.0,0
0,310,assisted,not_frontier,0,8,8,0.875,0.875,0
0,311,skill_free,not_frontier,0,8,8,0.5,0.5,0
0,312,assisted,full_skill_failure_pending_analysis,1,8,8,0.6666666666666666,0.0,1
0,313,skill_free,not_frontier,0,8,8,0.515,0.5,0
0,314,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,315,assisted,not_frontier,0,8,8,0.75,0.75,0
0,316,assisted,not_frontier,0,8,8,1.0,1.0,0
0,317,assisted,not_frontier,0,8,8,1.0,1.0,0
0,318,assisted,not_frontier,0,8,8,0.5,0.5,0
0,319,assisted,not_frontier,0,8,8,1.0,1.0,0
0,320,assisted,not_frontier,0,8,8,0.35714285714285715,0.25,0
0,321,assisted,not_frontier,0,8,8,0.875,0.875,0
0,322,assisted,not_frontier,0,8,8,0.25,0.25,0
0,323,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,324,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,325,assisted,not_frontier,0,8,8,0.5,0.375,0
0,326,assisted,not_frontier,0,8,8,0.875,0.875,0
0,327,assisted,not_frontier,0,8,8,0.5,0.5,0
0,328,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,329,assisted,not_frontier,0,8,8,0.75,0.75,0
0,330,assisted,not_frontier,0,8,8,0.625,0.625,0
0,331,assisted,not_frontier,0,8,8,1.0,1.0,0
0,332,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,333,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,334,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,335,assisted,not_frontier,0,8,8,1.0,1.0,0
0,336,assisted,not_frontier,0,8,8,0.5,0.5,0
0,337,assisted,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,338,assisted,not_frontier,0,8,8,1.0,1.0,0
0,339,assisted,environment_or_runtime_error,0,8,7,0.14285714285714285,0.14285714285714285,0
0,340,skill_free,not_frontier,0,8,8,0.8984375,0.875,0
0,341,assisted,not_frontier,0,8,8,0.78125,0.625,0
0,342,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,343,skill_free,not_frontier,0,8,8,0.6145833333333334,0.25,0
0,344,assisted,not_frontier,0,8,8,1.0,1.0,0
0,345,assisted,not_frontier,0,8,8,0.875,0.75,0
0,346,assisted,not_frontier,0,8,8,0.875,0.875,0
0,347,assisted,not_frontier,0,8,8,0.875,0.875,0
0,348,skill_free,model_internalization_deficit,1,8,8,0.0,0.0,1
0,349,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,350,assisted,not_frontier,0,8,8,1.0,1.0,0
0,351,assisted,environment_or_runtime_error,1,8,8,0.0,0.0,1
0,352,assisted,not_frontier,0,8,8,1.0,1.0,0
0,353,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,354,assisted,not_frontier,0,8,8,1.0,1.0,0
0,355,assisted,not_frontier,0,8,8,0.875,0.875,0
0,356,assisted,not_frontier,0,8,8,1.0,1.0,0
0,357,assisted,not_frontier,0,8,8,0.25,0.25,0
0,358,assisted,not_frontier,0,8,8,0.625,0.625,0
0,359,assisted,not_frontier,0,8,8,1.0,1.0,0
0,360,assisted,not_frontier,0,8,8,1.0,1.0,0
0,361,assisted,not_frontier,0,8,8,0.3125,0.125,0
0,362,assisted,not_frontier,0,8,8,0.875,0.875,0
0,363,assisted,model_internalization_deficit,1,8,8,0.0,0.0,1
0,364,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,365,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,366,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,367,skill_free,full_skill_failure_pending_analysis,1,8,8,0.109375,0.0,1
0,368,assisted,not_frontier,0,8,8,1.0,1.0,0
0,369,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,370,assisted,not_frontier,0,8,8,1.0,1.0,0
0,371,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,372,assisted,not_frontier,0,8,8,0.625,0.625,0
0,373,assisted,not_frontier,0,8,8,0.75,0.75,0
0,374,assisted,not_frontier,0,8,8,1.0,1.0,0
0,375,skill_free,full_skill_failure_pending_analysis,1,8,8,0.25,0.0,1
0,376,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,377,assisted,not_frontier,0,8,8,1.0,1.0,0
0,378,assisted,not_frontier,0,8,8,0.25,0.25,0
0,379,assisted,not_frontier,0,8,8,0.75,0.75,0
0,380,assisted,not_frontier,0,8,8,0.125,0.125,0
0,381,assisted,not_frontier,0,8,8,1.0,1.0,0
0,382,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,383,assisted,not_frontier,0,8,8,1.0,1.0,0
0,384,assisted,not_frontier,0,8,8,0.875,0.875,0
0,385,assisted,not_frontier,0,8,8,0.875,0.875,0
0,386,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,387,assisted,not_frontier,0,8,8,1.0,1.0,0
0,388,assisted,not_frontier,0,8,8,1.0,1.0,0
0,389,assisted,not_frontier,0,8,8,0.25,0.25,0
0,390,assisted,not_frontier,0,8,8,1.0,1.0,0
0,391,assisted,not_frontier,0,8,8,1.0,1.0,0
0,392,assisted,not_frontier,0,8,8,0.5,0.5,0
0,393,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,394,assisted,not_frontier,0,8,8,0.875,0.875,0
0,395,assisted,not_frontier,0,8,8,1.0,1.0,0
0,396,assisted,not_frontier,0,8,8,1.0,1.0,0
0,397,assisted,not_frontier,0,8,8,0.875,0.875,0
0,398,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,399,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,400,assisted,not_frontier,0,8,8,1.0,1.0,0
0,401,assisted,full_skill_failure_pending_analysis,1,8,8,0.5,0.0,1
0,402,assisted,not_frontier,0,8,8,1.0,1.0,0
0,403,assisted,not_frontier,0,8,8,1.0,1.0,0
0,404,assisted,not_frontier,0,8,8,1.0,1.0,0
0,405,assisted,not_frontier,0,8,8,1.0,1.0,0
0,406,assisted,not_frontier,0,8,8,1.0,1.0,0
0,407,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,408,assisted,not_frontier,0,8,8,1.0,1.0,0
0,409,assisted,not_frontier,0,8,8,0.625,0.625,0
0,410,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,411,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,412,assisted,not_frontier,0,8,8,1.0,1.0,0
0,413,assisted,not_frontier,0,8,8,0.125,0.125,0
0,414,assisted,not_frontier,0,8,8,0.625,0.625,0
0,415,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,416,skill_free,not_frontier,0,8,8,0.125,0.125,0
0,417,assisted,not_frontier,0,8,8,0.9166666666666667,0.5,0
0,418,assisted,not_frontier,0,8,8,1.0,1.0,0
0,419,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,420,assisted,not_frontier,0,8,8,1.0,1.0,0
0,421,assisted,not_frontier,0,8,8,0.5,0.5,0
0,422,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,423,assisted,not_frontier,0,8,8,0.25,0.25,0
0,424,assisted,not_frontier,0,8,8,1.0,1.0,0
0,425,assisted,full_skill_failure_pending_analysis,1,8,8,0.0,0.0,1
0,426,assisted,not_frontier,0,8,8,1.0,1.0,0
0,427,skill_free,not_frontier,0,8,8,0.875,0.875,0
0,428,skill_free,not_frontier,0,8,8,1.0,1.0,0
0,429,assisted,not_frontier,0,8,8,0.25,0.25,0
0,430,assisted,not_frontier,0,8,8,0.625,0.625,0
0,431,assisted,not_frontier,0,8,8,0.5,0.5,0
0,432,assisted,full_skill_failure_pending_analysis,1,8,8,0.5,0.0,1
